e	weights
25	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
26	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
27	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
28	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
29	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
30	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
31	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
32	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
33	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
34	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
35	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
36	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
37	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
38	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
39	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
40	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
41	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
42	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
43	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
44	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
45	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
46	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
47	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
48	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
49	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
50	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
51	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
52	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
53	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
54	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
55	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
56	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
57	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
58	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
59	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
60	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
61	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
62	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
63	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
64	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
65	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
66	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
67	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
68	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
69	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
70	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
71	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
72	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
73	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
74	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
75	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
76	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
77	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
78	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
79	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
80	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
81	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
82	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
83	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
84	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
85	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
86	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
87	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
88	{'el': 4.121798946671303, 'fr': 1.0, 'ja': 1.0, 'es': 1.0, 'en': 0.45495069564251356}
89	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
90	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
91	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
92	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
93	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
94	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
95	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
96	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
97	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
98	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
99	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
100	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
101	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
102	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
103	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
104	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
105	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
106	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
107	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
108	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
109	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
110	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
111	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
112	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
113	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
114	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
115	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
116	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
117	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
118	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
119	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
120	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
121	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
122	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
123	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
124	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
125	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
126	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
127	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
128	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
129	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
130	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
131	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
132	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
133	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
134	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
135	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
136	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
137	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
138	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
139	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
140	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
141	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
142	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
143	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
144	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
145	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
146	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
147	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
148	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
149	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
150	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
151	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
152	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
153	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
154	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
155	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
156	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
157	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
158	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
159	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
160	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
161	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
162	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
163	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
164	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
165	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
166	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
167	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
168	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
169	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
170	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
171	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
172	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
173	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
174	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
175	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
176	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
177	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
178	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
179	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
180	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
181	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
182	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
183	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
184	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
185	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
186	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
187	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
188	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
189	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
190	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
191	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
192	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
193	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
194	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
195	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
196	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
197	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
198	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
199	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
200	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
201	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
202	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
203	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
204	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
205	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
206	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
207	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
208	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
209	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
210	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
211	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
212	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
213	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
214	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
215	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
216	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
217	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
218	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
219	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
220	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
221	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
222	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
223	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
224	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
225	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
226	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
227	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
228	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
229	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
230	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
231	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
232	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
233	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
234	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
235	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
236	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
237	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
238	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
239	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
240	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
241	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
242	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
243	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
244	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
245	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
246	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
247	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
248	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
249	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
250	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
251	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
252	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
253	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
254	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
255	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
256	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
257	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
258	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
259	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
260	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
261	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
262	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
263	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
264	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
265	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
266	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
267	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
268	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
269	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
270	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
271	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
272	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
273	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
274	{'el': 4.158377933422402, 'fr': 0.3704295320353911, 'ja': 1.0, 'es': 1.043797392456833, 'en': 1.313545023034911}
275	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
276	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
277	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
278	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
279	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
280	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
281	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
282	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
283	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
284	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
285	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
286	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
287	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
288	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
289	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
290	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
291	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
292	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
293	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
294	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
295	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
296	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
297	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
298	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
299	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
300	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
301	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
302	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
303	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
304	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
305	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
306	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
307	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
308	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
309	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
310	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
311	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
312	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
313	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
314	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
315	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
316	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
317	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
318	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
319	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
320	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
321	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
322	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
323	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
324	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
325	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
326	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
327	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
328	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
329	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
330	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
331	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
332	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
333	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
334	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
335	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
336	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
337	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
338	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
339	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
340	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
341	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
342	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
343	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
344	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
345	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
346	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
347	{'el': 1, 'fr': 1, 'ja': 1, 'es': 1, 'en': 1}
